freq_MHz,5ppb,10ppb,50ppb,75ppb,100ppb,200ppb,500ppb,1000ppb
47.3168,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999988
47.3718,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999989
47.4269,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999990
47.4819,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999991
47.5369,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999992
47.5919,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999992
47.6469,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999993
47.7019,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999993
47.7569,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999994
47.8120,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999994
47.8670,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999994
47.9220,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999995
47.9770,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999995
48.0320,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999995
48.0870,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999995
48.1420,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999994
48.1970,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999994
48.2521,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999994
48.3071,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999994
48.3621,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999993
48.4171,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999993
48.4721,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999993
48.5271,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999992
48.5821,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999991
48.6372,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999991
48.6922,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999990
48.7472,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999989
48.8022,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999988
48.8572,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999987
48.9122,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999986
48.9672,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999985
49.0223,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999984
49.0773,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999982
49.1323,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999981
49.1873,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999979
49.2423,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999977
49.2973,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999975
49.3523,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999973
49.4074,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999971
49.4624,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999969
49.5174,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999966
49.5724,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999964
49.6274,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999961
49.6824,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999958
49.7374,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999954
49.7924,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999951
49.8475,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999947
49.9025,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999943
49.9575,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999939
50.0125,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999935
50.0675,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999930
50.1225,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999925
50.1775,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999920
50.2326,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999914
50.2876,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999908
50.3426,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999902
50.3976,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999896
50.4526,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999889
50.5076,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999882
50.5626,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999874
50.6177,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999866
50.6727,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999857
50.7277,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999849
50.7827,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999839
50.8377,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999830
50.8927,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999820
50.9477,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999809
51.0028,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999798
51.0578,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99999786
51.1128,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99999774
51.1678,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99999762
51.2228,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99999749
51.2778,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99999735
51.3328,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999998,0.99999721
51.3878,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999998,0.99999707
51.4429,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999998,0.99999692
51.4979,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999997,0.99999676
51.5529,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999996,0.99999660
51.6079,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999996,0.99999643
51.6629,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999995,0.99999626
51.7179,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999994,0.99999608
51.7729,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999993,0.99999590
51.8280,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999991,0.99999571
51.8830,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999990,0.99999551
51.9380,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999988,0.99999531
51.9930,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999986,0.99999511
52.0480,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999984,0.99999490
52.1030,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999981,0.99999468
52.1580,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999978,0.99999446
52.2131,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999975,0.99999423
52.2681,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999971,0.99999400
52.3231,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999966,0.99999376
52.3781,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999962,0.99999352
52.4331,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999956,0.99999328
52.4881,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999950,0.99999303
52.5431,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999944,0.99999277
52.5981,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999936,0.99999251
52.6532,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999928,0.99999225
52.7082,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999920,0.99999198
52.7632,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999910,0.99999171
52.8182,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999900,0.99999144
52.8732,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999889,0.99999116
52.9282,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999877,0.99999088
52.9832,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999864,0.99999060
53.0383,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999850,0.99999031
53.0933,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999836,0.99999002
53.1483,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999821,0.99998973
53.2033,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999805,0.99998944
53.2583,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99999788,0.99998915
53.3133,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99999770,0.99998885
53.3683,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999998,0.99999752,0.99998855
53.4234,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999998,0.99999734,0.99998826
53.4784,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999996,0.99999715,0.99998796
53.5334,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999994,0.99999695,0.99998766
53.5884,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999992,0.99999675,0.99998737
53.6434,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999989,0.99999655,0.99998707
53.6984,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999984,0.99999635,0.99998677
53.7534,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999978,0.99999615,0.99998648
53.8085,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999971,0.99999596,0.99998618
53.8635,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999962,0.99999576,0.99998589
53.9185,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99999951,0.99999557,0.99998560
53.9735,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99999938,0.99999539,0.99998531
54.0285,1.00000000,1.00000000,1.00000000,1.00000000,0.99999997,0.99999923,0.99999521,0.99998503
54.0835,1.00000000,1.00000000,1.00000000,0.99999999,0.99999994,0.99999906,0.99999505,0.99998474
54.1385,1.00000000,1.00000000,1.00000000,0.99999998,0.99999990,0.99999888,0.99999489,0.99998446
